pid	n_ppi	cell_names	n_annotations	specificity
26641092	239	AND-1,HeLa,Jurkat,HEK293	4	2-4
19596235	238	HEK293T,HT-1080,U2OS,HeLa,HEK293	5	5-9
23246001	238	HEK293T,HEK293	2	2-4
23349634	235	NIH 3T3,HeLa,EcR-293,HEK293,HeLa S3	5	5-9
30258100	235	Sf21,U2OS,Schneider 2,KBM-7,HEK293	5	5-9
20186120	234	T-REx-293,HEK293T,J26,HeLa	4	2-4
25277244	232	AsPC-1,HeLa,LNCaP,H9c2(2-1),PC-3	5	5-9
28902428	229	A-549	1	1
17500595	226	HeLa,MEF (C57BL/6),HAP1,HEK293	4	2-4
30108113	226	T-REx-293,LoVo,HeLa,LS174T,HCT 116,HT-29,NIH 3T3,10/9CRC1,SW480	9	5-9
20020773	223	2H9,HEK293T,HeLa,GM03403,HEK293	5	5-9
25756610	220	HMN-1,HEK293T,Sf9,SIKR-OSB,U2OS,MEF (C57BL/6)	6	5-9
28007913	213	HaCaT,HUVEC-C	2	2-4
19953087	211	HEK293T,MEF (C57BL/6)	2	2-4
26217791	209	HEK293T,SH-SY5Y	2	2-4
25659154	204	Hep-G2,HT115,HeLa,HEK293	4	2-4
24244333	202	HEK293T,SH-SY5Y	2	2-4
24728074	201	HeLa	1	1
27229929	196	K-562,2061H,HEK,U2OS,HeLa,HEK293	6	5-9
29021621	194	NIH 3T3,U2OS,HeLa,HCT 116	4	2-4
26527279	191	U2OS,HeLa,HeLa S3	3	2-4
21565611	189	HEK293T,MDCK,S12 [Human keratinocytes],NIH 3T3,MEF (C57BL/6)	5	5-9
22325352	189	Sf9,T-REx-293,K-562,HEK293T,HeLa,HEK293	6	5-9
26460568	186	HEK293	1	1
26816005	185	C2C12,LHCN-M2,BL-21,HEK293	4	2-4
24613305	184	HEK293T,U2OS	2	2-4
19167335	179	MRC-5,BL-21,HeLa	3	2-4
23555304	171	U2OS,HEK293	2	2-4
24725412	167	HEK293,SH-SY5Y	2	2-4
21729782	162	HEK293T,HeLa,HEK293,HeLa S3	4	2-4
26549023	157	HEK293T	1	1
22952844	156	HEK293T,Jurkat,MDA-MB-231,HL-60,HUVEC-C,COS-7,HEK293	7	5-9
26170170	155	T-REx-293,HEK293	2	2-4
22304920	152	UACC-903,501-mel,CCCL-6,SCC-9	4	2-4
27462432	151	HEK293T,U2OS	2	2-4
22626734	149	HEK293T,HeLa	2	2-4
22678362	149	HeLa,HEK293	2	2-4
28977470	149	T-47D,MCF-10A,K562(A),HEK293T,HCC38,MCF-7,MDA-MB-231	7	5-9
24606918	148	NCI-H1299,HeLa	2	2-4
29298432	147	T-REx-293,HeLa,HeLa Kyoto,HEK293	4	2-4
29997244	147	HEK293T,HEK293	2	2-4
23275563	146	HEK293	1	1
29467281	146	A-431,HEK293T,CHO,HeLa,HAM-1,PC12	6	5-9
24947832	143	HCC973,HEK293T,HEK,HeLa,SH-SY5Y	5	5-9
24835590	139	MCF-10A,MCF-7,MCF-10AT,BT-474,BT-549	5	5-9
23022380	138	SUP-T1,U-937,HeLa,OP9	4	2-4
23438482	138	RAW 264.7,HEK293,A-549	3	2-4
25107275	137	HEK293T,HeLa,HeLa M,HEK293	4	2-4
25476789	137	TS/A clone F2,Vero F6,HEK293T,FSD1/F4,WILL-2,T-REx-293,UV.CB6-2.1F,Hs 456.T,HEK293	9	5-9
21078624	135	HEK293T,NOC-S	2	2-4
30126976	135	CT 1,HEK293T,BL-21,HEK293	4	2-4
20102225	134	DD3098	1	1
26598620	131	MCF-10A,BL-21,MCF-7,NIH 3T3,SW480,MDA-MB-231,HeLa,DU145,HEK293	9	5-9
28883622	128	MCF-10A,HEK293T,MDA-MB-231,T-REx-293,HeLa,HEK293	6	5-9
25561175	123	T-REx-293,K-562,HEK293T,HeLa,RAW 264.7,NIH 3T3,HEK293	7	5-9
23891004	122	T-REx-293,HEK293T,HeLa,HEK293	4	2-4
26382858	122	6E6,RAW 264.7,HeLa Kyoto,NIH 3T3,HeLa,HeLa S3	6	5-9
27565346	122	Sf9,PC-10,T-REx-293,HEK293T,U2OS	5	5-9
22412018	120	HeLa,HEK293	2	2-4
27320910	120	HEK293T,SW480,Schneider 2,HCT 116,HEK293	5	5-9
27377895	117	NCI-H1299,HEK293T,BL-21,NCI-H650,NCI-H1264,Sf9,U2OS,HeLa,HCT 116,A-549	10	10+
20473970	112	HEK293T,HEK293-H,COG-N-299,HeLa	4	2-4
22558309	110	HMN-1,HEK293T,HeLa,HL	4	2-4
23105109	110	WM266-4,HEK293T,U2OS,HeLa	4	2-4
28416769	110	MRC-5,HEK293T,CHO,U2OS	4	2-4
20098747	109	HEK293T,BL-21,Has,HEK293	4	2-4
26420826	109	HMEC-1,CCRF-CEM C7,HeLa	3	2-4
19394292	107	HEK293T,BL-21,HeLa	3	2-4
19531213	107	BL-21,HeLa	2	2-4
26929214	107	BW1,Z2,BL-21,HeLa	4	2-4
25525879	106	MRC-5,BL-21,HEK293S,HEK293	4	2-4
29491746	105	MD,MCF-7,MDA-MB-231	3	2-4
20000738	103	HEK293T,QGY-7703,MHCC97,HEK,EpH4-Be1a,HEK293,SH-SY5Y	7	5-9
18729074	98	PC-3U,Hep-G2,HMN-1,HEK293T,MDA-MB-468,MEF (C57BL/6),HaCaT,NIH 3T3	8	5-9
21942715	98	HEK293T,U2OS	2	2-4
25071155	96	HEK293T,HeLa	2	2-4
29028833	96	HEK293T,IMR-90,HFF-1,HFK-1,AND-1,HCT 116	6	5-9
26693507	95	HEK293	1	1
27129302	94	NCI-H1299,U2OS,GM01229	3	2-4
22446626	91	NIH 3T3,HEK293	2	2-4
26402096	91	CN1.4,SYN-1	2	2-4
22094256	88	U2OS,HeLa,MEF (C57BL/6),SK-MEL-2,HEK293	5	5-9
25670202	87	MCF-10A,HEK293T,Ca Ski,HEK293,MCF-10AT,MDA-MB-231	6	5-9
29576527	87	MRC-5,HEK293T,TC 491,Jurkat,U2OS,HeLa,HEK293,HeLa S3,A-549	9	5-9
24169447	86	K-562,HEK293T,U2OS,HeLa,MEF (C57BL/6),HEK293,HeLa S3	7	5-9
25144556	86	MRC-5	1	1
19486527	84	HEp-2,BL-21,NCTC clone 929,HeLa,HEK293	5	5-9
26465331	84	C2C12,BL-21,Y-3,H9c2(2-1),HEK293	5	5-9
19135240	82	Sf9,BON-1,HEK293T,MIN6	4	2-4
23602572	82	HeLa	1	1
